#
#logT(K) H C for Z = 0., 0.01, 0.1, 0.2, 0.3, 1.0
#
6.9  4.757E-24  1.553E-29  4.830E-24  2.778E-29  5.485E-24  1.383E-28  6.207E-24  2.615E-28  6.924E-24  3.851E-28  1.180E-23  1.263E-27
7.0  5.166E-24  1.216E-29  5.237E-24  2.313E-29  5.878E-24  1.223E-28  6.586E-24  2.332E-28  7.289E-24  3.450E-28  1.207E-23  1.150E-27
7.1  5.724E-24  9.537E-30  5.790E-24  1.819E-29  6.390E-24  9.662E-29  7.051E-24  1.849E-28  7.707E-24  2.744E-28  1.217E-23  9.349E-28
7.2  6.338E-24  7.491E-30  6.390E-24  1.326E-29  6.860E-24  6.584E-29  7.379E-24  1.256E-28  7.894E-24  1.867E-28  1.139E-23  6.534E-28
7.3  7.008E-24  5.883E-30  7.045E-24  9.286E-30  7.384E-24  4.054E-29  7.757E-24  7.658E-29  8.127E-24  1.140E-28  1.065E-23  4.148E-28
7.4  7.733E-24  4.621E-30  7.761E-24  6.632E-30  8.016E-24  2.532E-29  8.297E-24  4.731E-29  8.577E-24  7.059E-29  1.047E-23  2.698E-28
7.5  8.510E-24  3.628E-30  8.533E-24  4.838E-30  8.740E-24  1.620E-29  8.968E-24  2.981E-29  9.193E-24  4.447E-29  1.073E-23  1.763E-28
7.6  9.532E-24  2.847E-30  9.551E-24  3.643E-30  9.727E-24  1.118E-29  9.922E-24  2.032E-29  1.011E-23  3.027E-29  1.142E-23  1.226E-28
7.7  1.065E-23  2.232E-30  1.066E-23  2.777E-30  1.082E-23  7.949E-30  1.100E-23  1.424E-29  1.118E-23  2.110E-29  1.236E-23  8.518E-29
7.8  1.184E-23  1.747E-30  1.186E-23  2.140E-30  1.201E-23  5.850E-30  1.217E-23  1.034E-29  1.234E-23  1.522E-29  1.346E-23  6.022E-29
7.9  1.308E-23  1.366E-30  1.310E-23  1.654E-30  1.327E-23  4.351E-30  1.345E-23  7.574E-30  1.363E-23  1.103E-29  1.487E-23  4.189E-29
8.0  1.432E-23  1.066E-30  1.434E-23  1.284E-30  1.452E-23  3.306E-30  1.472E-23  5.684E-30  1.491E-23  8.199E-30  1.625E-23  2.965E-29
8.1  1.576E-23  8.309E-31  1.578E-23  9.968E-31  1.596E-23  2.524E-30  1.616E-23  4.292E-30  1.635E-23  6.136E-30  1.767E-23  2.117E-29
8.2  1.710E-23  6.466E-31  1.712E-23  7.730E-31  1.729E-23  1.929E-30  1.747E-23  3.253E-30  1.766E-23  4.619E-30  1.891E-23  1.534E-29
8.3  1.824E-23  5.024E-31  1.826E-23  5.984E-31  1.842E-23  1.473E-30  1.859E-23  2.467E-30  1.876E-23  3.483E-30  1.992E-23  1.124E-29
8.4  1.914E-23  3.898E-31  1.916E-23  4.627E-31  1.930E-23  1.124E-30  1.946E-23  1.871E-30  1.962E-23  2.631E-30  2.068E-23  8.308E-30
8.5  1.978E-23  3.021E-31  1.979E-23  3.574E-31  1.992E-23  8.586E-31  2.007E-23  1.422E-30  2.021E-23  1.993E-30  2.117E-23  6.185E-30
8.6  2.041E-23  2.338E-31  2.042E-23  2.760E-31  2.054E-23  6.569E-31  2.067E-23  1.084E-30  2.080E-23  1.514E-30  2.168E-23  4.635E-30
8.7  2.082E-23  1.808E-31  2.083E-23  2.130E-31  2.094E-23  5.035E-31  2.106E-23  8.282E-31  2.118E-23  1.155E-30  2.199E-23  3.494E-30
8.8  2.109E-23  1.396E-31  2.111E-23  1.643E-31  2.121E-23  3.867E-31  2.132E-23  6.346E-31  2.143E-23  8.834E-31  2.216E-23  2.648E-30
8.9  2.134E-23  1.078E-31  2.136E-23  1.267E-31  2.145E-23  2.974E-31  2.155E-23  4.873E-31  2.165E-23  6.775E-31  2.231E-23  2.016E-30
9.0  2.174E-23  8.309E-32  2.175E-23  9.768E-32  2.183E-23  2.290E-31  2.192E-23  3.748E-31  2.201E-23  5.207E-31  2.260E-23  1.540E-30
